taxon_name,subphylum,class,order,suborder,superfamily,family,taxon_subfamily,taxon_genus,fad_int,lad_int,fad_age,lad_age,max_length,calc_max_vol
Ancistrocrania,Craniiformea,Craniata,Craniida,,Cranioidea,Craniidae,,Ancistrocrania,Coniacian,Maastrichtian,89.8,66,20.48,1172.17675
Conocrania,Craniiformea,Craniata,Craniida,,Cranioidea,Craniidae,,Conocrania,Berriasian,Valanginian,145,132.9,1.6965,0.163195492
Crania,Craniiformea,Craniata,Craniida,,Cranioidea,Craniidae,,Crania,Campanian,Maastrichtian,83.6,66,10.67333333,114.8302095
Craniscus,Craniiformea,Craniata,Craniida,,Cranioidea,Craniidae,,Craniscus,Oxfordian,Holocene,163.5,0,6.082,15.46491712
Danocrania,Craniiformea,Craniata,Craniida,,Cranioidea,Craniidae,,Danocrania,Maastrichtian,Thanetian,72.1,56,15.32666667,417.1109946
Isocrania,Craniiformea,Craniata,Craniida,,Cranioidea,Craniidae,,Isocrania,Campanian,Danian,83.6,61.6,8.785,57.36210561
Lepidocrania,Craniiformea,Craniata,Craniida,,Cranioidea,Craniidae,,Lepidocrania,Asselian,Kungurian,298.9,272.95,9.1,65.03763831
Nematocrania,Craniiformea,Craniata,Craniida,,Cranioidea,Craniidae,,Nematocrania,Artinskian,Artinskian,290.1,283.5,8.565,52.40361737
Neocrania,Craniiformea,Craniata,Craniida,,Cranioidea,Craniidae,,Neocrania,Ypresian,Holocene,56,0,11.38333333,144.4643264
Orthisocrania,Craniiformea,Craniata,Craniida,,Cranioidea,Craniidae,,Orthisocrania,Darriwilian,Hirnantian,467.3,443.8,19.215,933.8693601
Petrocrania,Craniiformea,Craniata,Craniida,,Cranioidea,Craniidae,,Petrocrania,Dapingian,Serpukhovian,470,323.2,11.5175,150.6263362
Philhedra,Craniiformea,Craniata,Craniida,,Cranioidea,Craniidae,,Philhedra,Darriwilian,Caradoc,467.3,449,12.11,180.1203386
Pseudocrania,Craniiformea,Craniata,Craniida,,Cranioidea,Craniidae,,Pseudocrania,Dapingian,Dapingian,470,467.3,18.24,775.6518515
Craniops,Craniiformea,Craniata,Craniopsida,,Craniopsoidea,Craniopsidae,,Craniops,Sandbian,Tournaisian,458.4,346.7,1.880666667,0.235646007
Discinopsis,Craniiformea,Craniata,Craniopsida,,Craniopsoidea,Craniopsidae,,Discinopsis,Stage 3,Guzhangian,521,497,3.326506024,1.799576256
Heliomedusa,Craniiformea,Craniata,Craniopsida,,Craniopsoidea,Craniopsidae,,Heliomedusa,Stage 3,Stage 3,521,514,23.26,1442.306426
Lingulapholis,Craniiformea,Craniata,Craniopsida,,Craniopsoidea,Craniopsidae,,Lingulapholis,Lochkovian,Famennian,419.2,358.9,6.7,21.835805
Paracraniops,Craniiformea,Craniata,Craniopsida,,Craniopsoidea,Craniopsidae,,Paracraniops,Sandbian,Telychian,458.4,433.4,1.865060241,0.228749055
Pseudopholidops,Craniiformea,Craniata,Craniopsida,,Craniopsoidea,Craniopsidae,,Pseudopholidops,Darriwilian,Hirnantian,467.3,443.8,2.253142857,0.448758135
Adensu,Craniiformea,Craniata,Trimerellida,,Trimerelloidea,Adensuidae,,Adensu,Katian,Katian,453,445.2,77.7,135931.6641
Belubula,Craniiformea,Craniata,Trimerellida,,Trimerelloidea,Trimerellidae,,Belubula,Sandbian,Hirnantian,458.4,443.8,64.34,69378.25352
Bowanpodium,Craniiformea,Craniata,Trimerellida,,Trimerelloidea,Trimerellidae,,Bowanpodium,Sandbian,Caradoc,458.4,449,6.88,24.00008009
Corystops,Craniiformea,Craniata,Trimerellida,,Trimerelloidea,Trimerellidae,,Corystops,Sandbian,Caradoc,458.4,449,12.89,225.0087204
