genus	condense	Floian	Dapingian	Darriwilian	Sandbian	Katian	Hirnantian	Rhuddanian	Aeronian	Telychian	Sheinwoodian	Homerian	Gorstian	Ludfordian	Pridoli	Lochkovian	Pragian	Emsian	Eifelian	Givetian	Frasnian
Strophomena	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomena	2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Furcitella	3	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bekkerina	4	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oepikina	5	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colaptomena	6	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kjerulfina	7	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rafinesquina	8	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kjaerina	9	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leptaena	10	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
Kiaeromena	11	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyptomena	12	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Platymena	13	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Christiania	14	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leptaenoidea	15	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Leptaenisca	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Amphistrophia	17	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0
Mesodouvillina	18	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0
Maoristrophia	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Douvillina	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Protodouvillina	21	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0
Douvillinella	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Dicoelostrophia	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Leptodontella	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Leptostrophia_magniventra	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Leptostrophia_beckii	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Brachyprion_philomela	27	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0
Brachyprion_semiglobosa	28	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0
Stropheodonta	29	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1
Parapholidostrophia	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Shaleria	31	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0
Eostrophonella	32	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Plectambonites	33	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Isophragma	34	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tafia	35	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ahtiella	36	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leptella	37	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bimuria	38	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sowerbyites	39	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leptellina	40	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
Lepteloidea	41	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Palaeostrophomena	42	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alwynella	43	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Railtonella	44	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leptestia	45	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
